20127018,Futung
20127017,Dharmasthali
20127016,Dhapasi
20127014,Daanchhi
20127013,Chunikhel
20127010,Chapali Bhadrakali
20127004,Balambu
20127032,Khadkabhadrakali
20127003,Bajrayogini (Sankhu)
20127012,Chouketardahachok
20127021,Goldhunga
20127022,Gonggabu
20127048,Satikhel
20127002,Baadbhanjyang
20127033,Kirtipur Municipality
20127028,Jorpati
20127034,Lapsephedi
20127041,Naglebhare
20127045,Pukhulachhi
20127050,Seuchatar
20127052,Sitapaila
20127053,Sundarijal
20127058,Tokha Chandeswori
20127059,Tokhasarswoti
20127057,Tinthana
20127046,Ramkot
20127056,Thankot
20127047,Sangla
20127054,Suntol
20127035,Machhegaun
20127055,Talkududechour
20127051,Sheshnarayan
20127039,Matatirtha
20127049,Satungal
20127026,Jhormahankal
20124012,Budhakhani
20124005,Banakhuchor
20124031,Ghartichhap
20124075,Salmechakala (Taldhunga)
20124013,Chalal Ganeshsthan
20124009,Bhumlutar
20124008,Bhimkhori
20124015,Choubas
20124016,Chyamrang Besi
20124019,Dapcha Chatraibhanjha
20124020,Daraune Pokhari
20124021,Deuvumi Baluwa
20124023,Dhulikhel Municipality
20124024,Dhunkharka
20124026,Dolalghat
20124027,Falate Bhumlu
20124028,Falemetar
20124029,Foksingtar
20124032,Gokule
20124033,Gothpani
20124034,Hokse Bazar
20124037,Kalatibhumi Danda
20124038,Kanpur Kalapani
20124039,Kartike Deurali
20124040,Katunje Besi
20124090,Ugratara Janagal
20124088,Thuloparsel
20124007,Bekhsimledhartigaun
20124087,Sisakhani
20124086,Sipalichilaune
20124025,Dhuseni Siwalaya
20124089,Tukuchanala
20124085,Simthali
20124064,Nayagaundeupur
20124082,Sathighar Bhagawati
20124052,Mahadevsthan Mandan
20124036,Jyamdi Mandan
20124006,Banepa Municipality
20124030,Gairi Bisounadeupur
20124003,Balting
20124041,Kavre Nityachandeswor
20124002,Baldthali
20124042,Khaharepangu
20124043,Khanalthok
20124044,Kharelthok
20124045,Kharpachok
20124046,Kolati Bhumlu
20124047,Koshidekha
20124048,Kuruwaschapakhori
20124049,Kushadevi
20124050,Machchhe Gaun
20124051,Madankundari
20124053,Mahadevtar
20124054,Mahankal Chaur
20124001,Anaikot
20124017,Chyasing Kharka
20124055,Mahendra Jyoti
20124004,Baluwapati Deupur
20124056,Majhifeda
20124057,Mangaltar
20124058,Mathurapati Fulbari
20124059,Methinkot
20124060,Milche
20124061,Nagregagarche
20124062,Nala (Ugrachandi)
20124014,Chandeni Mandan
20124063,Nasikasthansanga
20124035,Jaisithok Mandan
20124022,Devitar
20124065,Panauti Municipality
20124066,Panchkhal
20124067,Patalekhet
20124068,Pokharichauri
20124069,Pokhari Narayansthan
20124070,Purano Gaundapcha
20124084,Simal Choursyampati
20124071,Raviopi
20124072,Ryalebhir
20124073,Saldhara
20124074,Sallebhumlu
20124083,Sikharambote
20124075,Salmechakala (Taldhunga)
20124076,Sankhupatichour
20124077,Sanowangthali
20124078,Saping
20124079,Sarada Batase
20124080,Saramthali
20124026,Dolalghat
20124081,Sarasyun Khark
20124010,Birtadeurali
20125015,Dhusel
20125014,Dhapakhel
20125013,Devichour
20125012,Dalchoki
20125011,Choughare
20125010,Chhampi
20125009,Chapagaun
20125008,Chandanpur
20125007,Bungamati
20125006,Bukhel
20125005,Bisankhunarayan
20125016,Dukuchhap
20125003,Bhardev
20125017,Gimdi
20125001,Ashrang
20125018,Godamchaur
20125020,Gotikhel
20125021,Harisiddhi
